Comment,Designator,Footprint,LCSC,Quantity
SKRPABE010,"BOOT_SWITCH1,RESET_SWITCH1",SW_SKRPABE010,C115360,2
TPS73616DBV,U1,SOT-23-5,C115797,1
1k,"R12,R18,R24,R30,R37,R43,R48",R_0402_1005Metric,C11702,7
JST-PH,X1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,C131337,1
SK-12D02-VG3,S1,SK12D02VG3,C136723,1
1u,"C72,C74,C76,C78",C_0402_1005Metric,C14445,4
100u,"C7,C8",C_1206_3216Metric,C15008,2
100n,"C10,C12,C13,C18,C2,C21,C22,C23,C26,C27,C30,C33,C34,C35,C38,C39,C4,C42,C45,C46,C47,C50,C51,C54,C57,C58,C59,C6,C62,C63,C65,C67,C71,C9",C_0402_1005Metric,C1525,34
10u,"C1,C11,C14,C17,C19,C20,C24,C25,C28,C29,C3,C31,C32,C36,C37,C40,C41,C43,C44,C48,C49,C5,C52,C53,C55,C56,C60,C61,C64,C69,C70,C73,C75,C77",C_0402_1005Metric,C15525,34
D_Schottky,D1,D_SMA,C163541,1
SS8050-G,"Q1,Q2",TRANS_SS8050-G,C164886,2
TP4056,IC1,SOP-8,C16581,1
TYPE-C-31-M-12,"J10,J7,J8,J9",HRO_TYPE-C-31-M-12,C165948,4
0,"R38,R39,R41,R42,R45,R50,R8,R9",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C17168,8
2G,"RF1,RF2,RF3,RF4",R_0805_2012Metric,C2076085,4
4.7u,"C66,C68",C_0402_1005Metric,C23733,2
470,"R1,R2,R36,R4,R5,R51,R53",R_0402_1005Metric,C25117,7
47,"R10,R13,R14,R15,R16,R17,R19,R20,R21,R22,R23,R25,R26,R27,R28,R29,R3,R31,R32,R33,R34,R35",R_0402_1005Metric,C25118,22
10k,"R40,R44,R47,R49,R52,R6,R7",R_0402_1005Metric,C25531,7
1.5k,R11,R_0402_1005Metric,C25867,1
4k7,R46,R_0402_1005Metric,C25900,1
USBLC6-2P6,U11,SOT-666,C2827693,1
LED,"LED_INFO3,LED_INFO4",LED_0402_1005Metric,C2844007,2
LED,"LED_CHRG1,LED_PWR1,LED_PWR2,LED_PWR3",LED_0402_1005Metric,C2852592,4
DMG2305,Q3,SOT-23,C2940629,1
ESP32-S3-MINI-1-N8,U2,XCVR_ESP32-S3-MINI-1-N8,C3013941,1
LED,"LED_INFO1,LED_INFO2",LED_0402_1005Metric,C434449,2
ADS1220xPW,"U3,U5,U7,U9",TSSOP-16_4.4x5mm_P0.65mm,C48263,4
USB_B_Micro,J11,USB_Micro-B_Molex-105017-0001,C505111,1
AP2112K-3.3,"U13,U14",SOT-23-5,C51118,2
360p,"CF1,CF2,CF3,CF4",C_0805_2012Metric,C5375895,4
AD8605ARTZ,"U10,U4,U6,U8",SOT-23-5,C9641,4
CP2102N-Axx-xQFN24,U12,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,C969151,1
Conn_01x05_Pin,J2,PinHeader_1x05_P2.54mm_Vertical,,1
TestPoint,TP1,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
Conn_01x06_Pin,J4,PinSocket_1x06_P2.54mm_Vertical,,1
TestPoint,TP5,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TBD,C15,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,1
TBD,C16,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,1
TestPoint,TP3,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
RFShield_TwoPieces,J6,Laird_Technologies_BMI-S-205-F_38.10x25.40mm_HandSolder_SelfMade,,1
Conn_01x01_Pin,J5,PinHeader_1x01_P2.54mm_Vertical,,1
Conn_01x03_Pin,J1,PinHeader_1x03_P2.54mm_Vertical,,1
Conn_01x02_Pin,J3,PinHeader_1x02_P2.54mm_Vertical,,1
TestPoint,TP4,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint,TP2,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
